"path","line","component","layer","visibility","same_name_count","initial_status"
"src/components/features/events/EventChecklistCard.tsx","22","EventChecklistCard","shared-component","exported","1","review"
"src/components/features/events/EventMarketingLinksCard.tsx","36","EventMarketingLinksCard","shared-component","exported","1","review"
"src/components/features/events/EventPromotionContentCard.tsx","83","EventPromotionContentCard","shared-component","exported","1","review"
"src/components/features/events/FaqEditor.tsx","17","FaqEditor","shared-component","exported","1","review"
"src/components/features/events/KeywordStrategyCard.tsx","24","KeywordField","shared-component","internal","1","review"
"src/components/features/events/KeywordStrategyCard.tsx","58","KeywordStrategyCard","shared-component","exported","1","review"
"src/components/features/events/SeoHealthIndicator.tsx","34","SeoHealthIndicator","shared-component","exported","1","review"
"src/components/features/feedback/StarRating.tsx","11","StarRating","shared-component","exported","2","review"
"src/components/features/invoices/EmailInvoiceModal.tsx","21","EmailInvoiceModal","shared-component","exported","1","review"
"src/components/features/invoices/RefundDialog.tsx","36","RefundDialog","shared-component","exported","2","review"
"src/components/features/invoices/RefundHistoryTable.tsx","42","RefundHistoryTable","shared-component","exported","2","review"
"src/components/features/invoices/VendorDeleteButton.tsx","11","VendorDeleteButton","shared-component","exported","1","review"
"src/components/features/menu/SmartImportModal.tsx","36","SmartImportModal","shared-component","exported","1","review"
"src/components/features/messages/MessageThread.tsx","19","MessageThread","shared-component","exported","1","review"
"src/components/features/private-bookings/VenueSpaceDeleteButton.tsx","11","VenueSpaceDeleteButton","shared-component","exported","1","review"
"src/components/features/shared/GuestCancelBooking.tsx","8","GuestCancelBooking","shared-component","exported","1","review"
"src/components/features/shared/GuestPageShell.tsx","10","GuestPageShell","shared-component","exported","1","review"
"src/components/features/shared/GuestSubmitButton.tsx","10","GuestSubmitButton","shared-component","exported","1","review"
"src/components/features/shared/NetworkStatus.tsx","7","NetworkStatus","shared-component","exported","1","review"
"src/components/features/shared/SquareImageUpload.tsx","19","SquareImageUpload","shared-component","exported","1","review"
"src/components/foh/DragConfirmationModal.tsx","14","DragConfirmationModal","shared-component","exported","1","review"
"src/components/foh/DraggableBookingBlock.tsx","36","DraggableBookingBlock","shared-component","exported","1","review"
"src/components/foh/DroppableLaneTimeline.tsx","16","DroppableLaneTimeline","shared-component","exported","1","review"
"src/components/modals/AddEmergencyContactModal.tsx","14","SubmitButton","shared-component","internal","8","review"
"src/components/modals/AddEmergencyContactModal.tsx","27","AddEmergencyContactModal","shared-component","exported","1","review"
"src/components/modals/AddNoteModal.tsx","24","AddNoteModal","shared-component","exported","1","review"
"src/components/modals/ChasePaymentModal.tsx","21","ChasePaymentModal","shared-component","exported","1","review"
"src/components/modals/EditEmergencyContactModal.tsx","15","SubmitButton","shared-component","internal","8","review"
"src/components/modals/EditEmergencyContactModal.tsx","28","EditEmergencyContactModal","shared-component","exported","1","review"
"src/components/modals/EmailQuoteModal.tsx","17","EmailQuoteModal","shared-component","exported","1","review"
"src/components/private-bookings/CalendarView.tsx","38","CalendarView","shared-component","exported","1","review"
"src/components/private-bookings/CommunicationsTab.tsx","63","CommunicationsTab","shared-component","exported","1","review"
"src/components/private-bookings/CommunicationsTabServer.tsx","20","CommunicationsTabServer","shared-component","exported","1","review"
"src/components/private-bookings/DeleteBookingButton.tsx","32","DeleteBookingButton","shared-component","exported","1","review"
"src/components/private-bookings/EventDetailsRiskSection.tsx","40","EventDetailsRiskSection","shared-component","exported","1","review"
"src/components/private-bookings/SmsQueueActionForm.tsx","33","SmsQueueActionForm","shared-component","exported","1","review"
"src/components/private-bookings/SmsQueueActionForm.tsx","109","SubmitButton","shared-component","internal","8","review"
"src/components/private-bookings/WorkflowPanels.tsx","87","StatusBadge","shared-component","internal","2","review"
"src/components/private-bookings/WorkflowPanels.tsx","166","WorkflowStatusPanel","shared-component","exported","1","review"
"src/components/private-bookings/WorkflowPanels.tsx","231","RecordLockBanner","shared-component","exported","1","review"
"src/components/private-bookings/WorkflowPanels.tsx","248","RecordLockControl","shared-component","exported","1","review"
"src/components/private-bookings/WorkflowPanels.tsx","331","WaiverRiskPanel","shared-component","exported","1","review"
"src/components/private-bookings/WorkflowPanels.tsx","544","SupplierModal","shared-component","internal","1","review"
"src/components/private-bookings/WorkflowPanels.tsx","655","SuppliersPanel","shared-component","exported","1","review"
"src/components/private-bookings/WorkflowPanels.tsx","840","DeductionsPanel","shared-component","exported","1","review"
"src/components/private-bookings/WorkflowPanels.tsx","1073","ComplaintRow","shared-component","internal","1","review"
"src/components/private-bookings/WorkflowPanels.tsx","1135","ComplaintsPanel","shared-component","exported","1","review"
"src/components/providers/SupabaseProvider.tsx","15","SupabaseProvider","shared-component","exported","1","review"
"src/components/schedule-calendar/ScheduleCalendar.tsx","27","ScheduleCalendar","shared-component","exported","1","review"
"src/components/schedule-calendar/ScheduleCalendarList.tsx","27","ScheduleCalendarList","shared-component","exported","1","review"
"src/components/schedule-calendar/ScheduleCalendarMonth.tsx","19","ScheduleCalendarMonth","shared-component","exported","1","review"
"src/components/schedule-calendar/ScheduleCalendarMonth.tsx","230","EntryBlock","shared-component","internal","1","review"
"src/components/schedule-calendar/ScheduleCalendarWeek.tsx","21","ScheduleCalendarWeek","shared-component","exported","1","review"
"src/components/schedule-calendar/VenueCalendar.tsx","361","VenueCalendar","shared-component","exported","1","review"
"src/contexts/PermissionContext.tsx","16","PermissionProvider","route-local","exported","1","local"
"src/ds/compat/BackButton.tsx","35","BackButton","ds-compat","exported","1","review"
"src/ds/compat/CardParts.tsx","8","CardTitle","ds-compat","exported","1","review"
"src/ds/compat/CardParts.tsx","20","CardDescription","ds-compat","exported","1","review"
"src/ds/compat/Container.tsx","26","Container","ds-compat","exported","1","review"
"src/ds/compat/DrawerActions.tsx","16","DrawerActions","ds-compat","exported","1","review"
"src/ds/compat/FilterPanel.tsx","55","FilterPanel","ds-compat","exported","1","review"
"src/ds/compat/Form.tsx","33","Form","ds-compat","exported","1","review"
"src/ds/compat/Form.tsx","134","FormSection","ds-compat","exported","1","review"
"src/ds/compat/Form.tsx","158","FormActions","ds-compat","exported","1","review"
"src/ds/compat/ModalActions.tsx","9","ModalActions","ds-compat","exported","1","review"
"src/ds/compat/PopoverParts.tsx","8","PopoverHeader","ds-compat","exported","1","review"
"src/ds/compat/PopoverParts.tsx","22","PopoverContent","ds-compat","exported","1","review"
"src/ds/compat/RadioGroup.tsx","34","RadioGroup","ds-compat","exported","1","review"
"src/ds/compat/SortableHeader.tsx","22","SortableHeader","ds-compat","exported","1","review"
"src/ds/compat/StatGroup.tsx","18","StatGroup","ds-compat","exported","1","review"
"src/ds/compat/TabNav.tsx","68","TabNav","ds-compat","exported","1","review"
"src/ds/composites/Card.tsx","30","Card","ds-composite","exported","1","review"
"src/ds/composites/Card.tsx","71","CardHeader","ds-composite","exported","1","review"
"src/ds/composites/Card.tsx","96","CardBody","ds-composite","exported","1","review"
"src/ds/composites/Card.tsx","111","CardFooter","ds-composite","exported","1","review"
"src/ds/composites/Chart.tsx","42","BarWithTargetLine","ds-composite","internal","1","review"
"src/ds/composites/Chart.tsx","96","ChartTooltipContent","ds-composite","internal","1","review"
"src/ds/composites/Chart.tsx","130","RevenueChart","ds-composite","exported","1","review"
"src/ds/composites/Chart.tsx","177","Sparkline","ds-composite","exported","1","review"
"src/ds/composites/CustomerLink.tsx","11","CustomerLink","ds-composite","exported","1","review"
"src/ds/composites/DataTable.tsx","63","DataTable","ds-composite","exported","1","review"
"src/ds/composites/DescriptionList.tsx","29","DescriptionList","ds-composite","exported","1","review"
"src/ds/composites/PageHeader.tsx","27","PageHeader","ds-composite","exported","1","review"
"src/ds/composites/PageLayout.tsx","26","HeaderNav","ds-composite","internal","1","review"
"src/ds/composites/PageLayout.tsx","150","PageLayout","ds-composite","exported","1","review"
"src/ds/composites/PageLoading.tsx","17","PageLoading","ds-composite","exported","1","review"
"src/ds/composites/RowActions.tsx","29","RowActions","ds-composite","exported","1","review"
"src/ds/composites/Section.tsx","36","Section","ds-composite","exported","3","review"
"src/ds/composites/SectionNav.tsx","28","SectionNav","ds-composite","exported","1","review"
"src/ds/composites/Segmented.tsx","23","Segmented","ds-composite","exported","1","review"
"src/ds/composites/Table.tsx","21","Table","ds-composite","exported","1","review"
"src/ds/composites/Table.tsx","38","TableHeader","ds-composite","exported","1","review"
"src/ds/composites/Table.tsx","53","TableBody","ds-composite","exported","1","review"
"src/ds/composites/Table.tsx","69","TableRow","ds-composite","exported","1","review"
